,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
1342,Used Clothing,group,Uganda,UG,shared,field_partner,36,1800,English,monthly,Clothing,funded,8,0.346
1343,Charcoal Sales,female,Togo,TG,shared,field_partner,7,175,French,irregular,Retail,funded,9,0.067
1344,Farming,female,Nigeria,NG,not shared,field_partner,17,675,English,monthly,Agriculture,funded,10,0.605
1345,General Store,female,Philippines,PH,shared,field_partner,14,350,English,irregular,Retail,funded,8,0.055
1346,Fruits & Vegetables,female,Sierra Leone,SL,not shared,field_partner,42,1200,English,monthly,Food,funded,14,0.531
1347,General Store,female,Philippines,PH,shared,field_partner,24,1150,English,irregular,Retail,funded,8,0.422
1348,Primary/secondary school costs,female,Vietnam,VN,shared,field_partner,4,450,English,monthly,Education,funded,17,0.2
1349,Clothing Sales,female,Bolivia,BO,shared,field_partner,20,500,Spanish,irregular,Clothing,funded,10,0.043
1350,Agriculture,group,Kenya,KE,shared,field_partner,15,1250,English,bullet,Agriculture,not_funded,11,0.223
1351,Personal Housing Expenses,male,Bolivia,BO,shared,field_partner,5,1450,Spanish,monthly,Housing,not_funded,27,0.077
1352,Retail,group,Guatemala,GT,shared,field_partner,45,1850,Spanish,irregular,Retail,funded,6,0.082
1353,Grocery Store,female,Philippines,PH,shared,field_partner,3,200,English,irregular,Food,funded,8,0.054
1354,Fishing,female,Philippines,PH,shared,field_partner,11,425,English,irregular,Food,funded,11,0.055
1355,Phone Use Sales,female,Philippines,PH,shared,field_partner,4,300,English,irregular,Retail,funded,8,0.055
1356,Dairy,male,Uganda,UG,shared,field_partner,28,1500,English,irregular,Agriculture,funded,14,0.346
1357,Farming,male,Honduras,HN,shared,field_partner,13,325,Spanish,bullet,Agriculture,funded,1 Year,0.109
1358,Sewing,female,Pakistan,PK,shared,field_partner,5,500,English,irregular,Services,funded,13,0.039
1359,Pigs,female,El Salvador,SV,shared,field_partner,22,600,Spanish,bullet,Agriculture,funded,14,0.077
1360,Livestock,male,El Salvador,SV,shared,field_partner,9,800,Spanish,irregular,Agriculture,not_funded,20,0.054
1361,Grocery Store,group,Guatemala,GT,shared,field_partner,28,1800,Spanish,monthly,Food,not_funded,14,0.082
1362,Jewelry,female,Nigeria,NG,shared,field_partner,15,450,English,monthly,Retail,funded,10,0.107
1363,Farming,female,Cambodia,KH,not shared,field_partner,5,600,English,monthly,Agriculture,funded,26,0.16
1364,Fish Selling,group,Sierra Leone,SL,shared,field_partner,27,750,English,monthly,Food,funded,1 Year,0.423
1365,General Store,female,Philippines,PH,shared,field_partner,30,750,English,irregular,Retail,funded,8,0.029
1366,Wholesale,female,Kenya,KE,shared,field_partner,38,1000,English,irregular,Wholesale,funded,14,0.02
1367,Phone Accessories,male,Yemen,YE,shared,field_partner,12,725,English,monthly,Retail,funded,15,0.057
1368,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Housing,funded,8,0.055
1369,Grocery Store,group,Sierra Leone,SL,shared,field_partner,17,575,English,monthly,Food,funded,1 Year,0.423
1370,Food Production/Sales,male,Yemen,YE,shared,field_partner,25,850,English,monthly,Food,funded,13,0.057
1371,Retail,male,Bolivia,BO,not shared,field_partner,17,500,Spanish,monthly,Retail,funded,14,0.077
1372,Services,male,Jordan,JO,shared,field_partner,23,2125,English,monthly,Services,not_funded,23,0.005
1373,Personal Housing Expenses,male,Mongolia,MN,shared,field_partner,48,1350,English,monthly,Housing,funded,14,0.006
1374,Food Production/Sales,female,El Salvador,SV,not shared,field_partner,8,200,Spanish,monthly,Food,funded,7,0.054
1375,Spare Parts,male,Kenya,KE,shared,field_partner,33,1200,English,monthly,Retail,not_funded,14,0.02
1376,Dairy,female,Kenya,KE,shared,field_partner,22,925,English,monthly,Agriculture,funded,14,0.02
1377,Construction Supplies,female,Nicaragua,NI,shared,field_partner,14,425,Spanish,monthly,Construction,funded,14,0.112
1378,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.696
1379,Food Stall,female,Nicaragua,NI,shared,field_partner,20,1000,Spanish,monthly,Food,funded,1 Year,0.108
1380,Carpentry,male,Bolivia,BO,shared,field_partner,25,1000,Spanish,monthly,Construction,funded,16,0.077
1381,Restaurant,female,Kenya,KE,shared,field_partner,5,500,English,irregular,Food,not_funded,11,0.02
1382,Clothing Sales,female,Uganda,UG,shared,field_partner,7,225,English,irregular,Clothing,funded,8,0.013
1383,Agriculture,female,Tajikistan,TJ,not shared,field_partner,42,1175,Russian,monthly,Agriculture,funded,17,0.021
1384,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.204
1385,Clothing Sales,female,Uganda,UG,shared,field_partner,20,725,English,monthly,Clothing,funded,14,0.417
1386,Used Clothing,female,Nicaragua,NI,shared,field_partner,22,625,Spanish,irregular,Clothing,funded,10,0.161
1387,Personal Expenses,female,Peru,PE,shared,field_partner,14,375,Spanish,monthly,Personal Use,funded,14,0.009
1388,Animal Sales,male,Tajikistan,TJ,shared,field_partner,103,3000,Russian,irregular,Agriculture,funded,7,0.086
1389,Spare Parts,male,Togo,TG,not shared,field_partner,39,1100,French,monthly,Retail,funded,14,0.067
1390,Fruits & Vegetables,female,Nicaragua,NI,shared,field_partner,4,400,Spanish,irregular,Food,funded,5,0.112
1391,Food Stall,female,Philippines,PH,shared,field_partner,5,175,English,irregular,Food,funded,7,0.039
1392,Fish Selling,female,Philippines,PH,shared,field_partner,4,125,English,monthly,Food,funded,5,0.055
1393,Beauty Salon,female,Pakistan,PK,shared,field_partner,11,400,English,monthly,Services,funded,14,0.184
1394,General Store,female,El Salvador,SV,shared,field_partner,16,400,Spanish,monthly,Retail,funded,10,0.201
1395,Personal Housing Expenses,male,Bolivia,BO,shared,field_partner,7,1150,English,monthly,Housing,not_funded,14,0.077
1396,Food Market,group,Ghana,GH,shared,field_partner,63,1925,English,irregular,Food,funded,6,0.171
1397,Charcoal Sales,female,Togo,TG,not shared,field_partner,16,650,French,monthly,Retail,funded,14,0.067
1398,Food Stall,male,Colombia,CO,shared,field_partner,12,1050,Spanish,monthly,Food,not_funded,26,0.005
1399,Home Products Sales,female,Indonesia,ID,not shared,field_partner,1,75,English,monthly,Retail,funded,15,0.075
1400,Farming,female,Philippines,PH,not shared,field_partner,8,350,English,bullet,Agriculture,funded,6,0.09
1401,Higher education costs,female,Cambodia,KH,shared,field_partner,9,250,English,monthly,Education,funded,7,0.16
1402,Food,female,Philippines,PH,shared,field_partner,8,275,English,irregular,Food,funded,8,0.055
1403,Agriculture,group,Guatemala,GT,shared,field_partner,21,600,Spanish,monthly,Agriculture,funded,14,0.082
1404,Higher education costs,male,Bolivia,BO,not shared,field_partner,17,450,English,irregular,Education,funded,10,0.077
1405,Livestock,female,Ghana,GH,shared,field_partner,0,225,English,monthly,Agriculture,not_funded,13,0.058
1406,Food Production/Sales,female,Nicaragua,NI,shared,field_partner,14,550,Spanish,monthly,Food,funded,1 Year,0.161
1407,Food Production/Sales,group,Nigeria,NG,shared,field_partner,38,1075,English,bullet,Food,funded,1 Year,0.05
1408,Farming,female,India,IN,shared,field_partner,11,275,English,bullet,Agriculture,funded,43,0.121
1409,Cattle,female,Tajikistan,TJ,shared,field_partner,42,2000,Russian,monthly,Agriculture,not_funded,26,0.033
1410,General Store,male,El Salvador,SV,not shared,field_partner,21,600,Spanish,monthly,Retail,funded,20,0.113
1411,Food Production/Sales,female,Colombia,CO,shared,field_partner,12,700,Spanish,bullet,Food,not_funded,14,0.005
1412,Property,female,Philippines,PH,shared,field_partner,8,800,English,irregular,Housing,funded,8,0.422
1413,Food Production/Sales,female,Kenya,KE,shared,field_partner,19,550,English,irregular,Food,funded,13,0.075
1414,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Housing,funded,13,0.055
1415,Personal Expenses,female,El Salvador,SV,shared,field_partner,18,500,Spanish,monthly,Personal Use,funded,17,0.054
1416,Food,group,Yemen,YE,shared,field_partner,14,625,English,irregular,Food,funded,6,0.057
1417,Rickshaw,female,Pakistan,PK,shared,field_partner,6,200,English,irregular,Transportation,funded,1 Year,0.039
1418,Personal Medical Expenses,female,Tajikistan,TJ,shared,field_partner,15,450,English,monthly,Health,funded,14,0.021
1419,Food Production/Sales,female,El Salvador,SV,shared,field_partner,10,650,Spanish,monthly,Food,funded,15,0.03
1420,Retail,female,Togo,TG,shared,field_partner,39,1250,English,monthly,Retail,funded,14,0.067
1421,Beauty Salon,female,Colombia,CO,shared,field_partner,21,1175,Spanish,monthly,Services,not_funded,21,0.009
1422,Education provider,male,Uganda,UG,shared,field_partner,39,1075,English,irregular,Education,funded,33,0.013
1423,Clothing Sales,female,Uganda,UG,shared,field_partner,1,200,English,irregular,Clothing,funded,6,0.013
1424,General Store,male,Uganda,UG,shared,field_partner,9,500,English,monthly,Retail,not_funded,14,0.371
1425,General Store,group,Nicaragua,NI,shared,field_partner,19,525,Spanish,monthly,Retail,funded,1 Year,0.077
1426,General Store,group,Nicaragua,NI,shared,field_partner,77,2025,Spanish,monthly,Retail,funded,7,0.077
1427,Farming,male,Nigeria,NG,shared,field_partner,6,175,English,bullet,Agriculture,funded,15,0.311
1428,Retail,female,Colombia,CO,shared,field_partner,5,650,Spanish,monthly,Retail,not_funded,14,0.009
1429,Weaving,female,El Salvador,SV,shared,field_partner,13,400,Spanish,bullet,Arts,funded,14,0.077
1430,Quarrying,group,Uganda,UG,shared,field_partner,68,2025,English,irregular,Construction,funded,9,0.013
1431,Farming,female,Kenya,KE,shared,field_partner,1,200,English,monthly,Agriculture,funded,14,0.19
1432,Retail,female,Nicaragua,NI,not shared,field_partner,33,1000,Spanish,monthly,Retail,funded,21,0.077
1433,Timber Sales,female,Nigeria,NG,not shared,field_partner,4,450,English,monthly,Construction,funded,11,0.605
1434,Home Appliances,group,Cambodia,KH,shared,field_partner,1,100,English,monthly,Personal Use,funded,8,0.121
1435,Farming,group,Cambodia,KH,shared,field_partner,33,875,English,monthly,Agriculture,funded,14,0.274
1436,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,16,425,English,monthly,Housing,funded,8,0.497
1437,Mobile Transactions,female,Uganda,UG,shared,field_partner,6,150,English,irregular,Services,funded,8,0.417
1438,Cereals,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Food,funded,13,0.509
1439,General Store,female,Philippines,PH,shared,field_partner,3,225,English,irregular,Retail,funded,7,0.422
1440,Transportation,male,Peru,PE,shared,field_partner,1,1550,Spanish,irregular,Transportation,funded,6,0.062
1441,Grocery Store,group,Nicaragua,NI,not shared,field_partner,100,3175,Spanish,irregular,Food,funded,10,0.161
1442,Clothing Sales,female,El Salvador,SV,not shared,field_partner,17,500,Spanish,monthly,Clothing,funded,20,0.054
1443,Jewelry,female,Ghana,GH,shared,field_partner,17,450,English,irregular,Retail,funded,9,0.058
1444,Liquor Store / Off-License,group,Uganda,UG,not shared,field_partner,6,225,English,irregular,Food,funded,7,0.013
1445,Farming,male,Nigeria,NG,shared,field_partner,8,200,English,bullet,Agriculture,funded,21,0.311
1446,Poultry,group,Vietnam,VN,shared,field_partner,89,2450,English,monthly,Agriculture,funded,20,0.013
1447,Education provider,male,Uganda,UG,shared,field_partner,48,1525,English,irregular,Education,funded,32,0.371
1448,Agriculture,group,Myanmar (Burma),MM,shared,field_partner,71,2125,English,bullet,Agriculture,funded,10,0.129
1449,Food Stall,group,Dominican Republic,DO,shared,field_partner,85,2525,English,irregular,Food,funded,8,0.078
1450,Computers,male,Ecuador,EC,not shared,field_partner,40,1000,Spanish,bullet,Services,funded,14,0.014
1451,Clothing Sales,group,Guatemala,GT,shared,field_partner,68,2000,Spanish,monthly,Clothing,funded,14,0.067
1452,Cosmetics Sales,female,Togo,TG,shared,field_partner,13,325,French,monthly,Retail,funded,14,0.067
1453,Fishing,female,Philippines,PH,shared,field_partner,4,225,English,irregular,Food,funded,11,0.055
1454,Education provider,female,Peru,PE,shared,field_partner,7,325,Spanish,monthly,Education,funded,8,0.062
1455,Flowers,male,Colombia,CO,shared,field_partner,9,725,English,bullet,Agriculture,not_funded,26,0.005
1456,Pigs,female,Philippines,PH,shared,field_partner,4,100,English,irregular,Agriculture,funded,8,0.497
1457,Pharmacy,female,Kenya,KE,shared,field_partner,20,575,English,monthly,Health,funded,14,0.223
1458,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,12,1175,Spanish,monthly,Housing,not_funded,14,0.132
1459,General Store,female,Ghana,GH,shared,field_partner,46,1325,English,irregular,Retail,funded,25,0.058
1460,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,13,525,English,irregular,Housing,funded,59,0.029
1461,Clothing Sales,male,Zimbabwe,ZW,shared,field_partner,21,700,English,monthly,Clothing,funded,8,0.075
1462,Home Appliances,group,Lao People's Democratic Republic,LA,shared,field_partner,5,225,English,bullet,Personal Use,funded,10,0.248
1463,Farming,female,Cambodia,KH,shared,field_partner,5,150,English,monthly,Agriculture,funded,15,0.121
1464,Animal Sales,male,Togo,TG,not shared,field_partner,30,900,French,monthly,Agriculture,funded,19,0.083
1465,Food Stall,female,Peru,PE,shared,field_partner,14,400,Spanish,monthly,Food,funded,14,0.009
1466,Vehicle,female,Cambodia,KH,not shared,field_partner,36,1000,English,monthly,Personal Use,funded,22,0.16
1467,Clothing Sales,female,Peru,PE,shared,field_partner,1,950,Spanish,irregular,Clothing,funded,6,0.062
1468,Farming,female,Philippines,PH,not shared,field_partner,4,250,English,irregular,Agriculture,funded,7,0.055
1469,Pigs,female,Philippines,PH,shared,field_partner,3,125,English,monthly,Agriculture,funded,8,0.055
1470,Beauty Salon,group,Bolivia,BO,shared,field_partner,185,5500,Spanish,monthly,Services,funded,9,0.043
1471,Farming,male,Kenya,KE,shared,field_partner,14,500,English,monthly,Agriculture,funded,14,0.223
1472,Food Market,female,Nigeria,NG,shared,field_partner,19,475,English,monthly,Food,funded,10,0.605
1473,Retail,male,Kenya,KE,shared,field_partner,9,525,English,monthly,Retail,funded,14,0.223
1474,Wedding Expenses,male,Lebanon,LB,not shared,field_partner,11,1500,English,monthly,Personal Use,not_funded,17,0.003
1475,Farming,female,Cambodia,KH,shared,field_partner,15,500,English,monthly,Agriculture,funded,18,0.274
1476,Cereals,female,Togo,TG,shared,field_partner,5,125,French,irregular,Food,funded,8,0.067
1477,Tailoring,female,Pakistan,PK,shared,field_partner,14,400,English,irregular,Services,funded,1 Year,0.039
1478,General Store,female,Philippines,PH,shared,field_partner,15,425,English,irregular,Retail,funded,8,0.055
1479,Retail,female,Peru,PE,not shared,field_partner,19,500,Spanish,irregular,Retail,funded,6,0.062
1480,General Store,female,Philippines,PH,shared,field_partner,6,250,English,irregular,Retail,funded,8,0.055
1481,Home Products Sales,group,Sierra Leone,SL,shared,field_partner,20,600,English,monthly,Retail,funded,10,0.423
1482,General Store,female,Philippines,PH,shared,field_partner,3,125,English,irregular,Retail,funded,8,0.055
1483,Home Energy,female,Haiti,HT,shared,field_partner,12,325,English,irregular,Personal Use,funded,75,0.249
1484,Farming,female,Kenya,KE,shared,field_partner,1,100,English,monthly,Agriculture,funded,8,0.02
1485,Pigs,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Agriculture,funded,7,0.055
1486,General Store,group,Ghana,GH,shared,field_partner,71,2950,English,monthly,Retail,funded,8,0.171
1487,General Store,female,Philippines,PH,shared,field_partner,2,225,English,irregular,Retail,funded,8,0.055
1488,General Store,female,Timor-Leste,TL,not shared,field_partner,21,600,English,monthly,Retail,funded,10,0.406
1489,Farming,group,Cambodia,KH,shared,field_partner,18,550,English,monthly,Agriculture,funded,14,0.274
1490,Livestock,female,Tajikistan,TJ,shared,field_partner,25,750,Russian,monthly,Agriculture,funded,14,0.086
1491,Tailoring,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Services,funded,8,0.054
1492,Services,group,Afghanistan,AF,not shared,field_partner,16,425,English,monthly,Services,funded,9,0.117
1493,Home Appliances,group,Cambodia,KH,shared,field_partner,2,100,English,monthly,Personal Use,funded,8,0.121
1494,Food Stall,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Food,funded,13,0.075
1495,Higher education costs,female,Colombia,CO,shared,field_partner,4,125,Spanish,bullet,Education,funded,6,0.005
1496,Clothing Sales,female,Peru,PE,shared,field_partner,22,550,Spanish,monthly,Clothing,funded,7,0.069
1497,Animal Sales,female,Cambodia,KH,not shared,field_partner,11,500,English,monthly,Agriculture,funded,14,0.696
1498,Construction Supplies,group,Sierra Leone,SL,shared,field_partner,42,1225,English,monthly,Construction,funded,1 Year,0.537
1499,Spare Parts,female,Philippines,PH,shared,field_partner,15,1000,English,irregular,Retail,funded,9,0.029
1500,Butcher Shop,male,Uganda,UG,shared,field_partner,29,825,English,monthly,Food,funded,14,0.013
1501,Personal Expenses,female,Indonesia,ID,shared,field_partner,6,550,English,irregular,Personal Use,funded,37,0.029
1502,Used Clothing,female,Nigeria,NG,not shared,field_partner,19,550,English,monthly,Clothing,funded,10,0.107
1503,Farming,male,Kenya,KE,shared,field_partner,8,300,English,monthly,Agriculture,funded,14,0.509
1504,Used Shoes,male,Madagascar,MG,shared,field_partner,14,375,French,irregular,Clothing,funded,8,0.357
1505,Agriculture,group,Cambodia,KH,shared,field_partner,12,325,English,monthly,Agriculture,funded,1 Year,0.274
1506,Manufacturing,male,Tajikistan,TJ,shared,field_partner,22,1150,Russian,monthly,Manufacturing,funded,14,0.086
1507,Higher education costs,female,Philippines,PH,shared,field_partner,15,375,English,irregular,Education,funded,14,0.055
1508,Personal Housing Expenses,male,Mongolia,MN,shared,field_partner,24,1125,English,monthly,Housing,funded,14,0.006
1509,Beauty Salon,female,Kenya,KE,shared,field_partner,17,775,English,irregular,Services,not_funded,13,0.075
1510,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Food,funded,7,0.039
1511,Transportation,male,Philippines,PH,shared,field_partner,36,1050,English,irregular,Transportation,funded,8,0.422
1512,Retail,female,Philippines,PH,shared,field_partner,7,175,English,irregular,Retail,funded,8,0.055
1513,Pigs,female,Philippines,PH,shared,field_partner,17,450,English,irregular,Agriculture,funded,13,0.055
1514,Food Market,female,Sierra Leone,SL,shared,field_partner,5,125,English,irregular,Food,funded,6,0.319
1515,Farming,female,Philippines,PH,not shared,field_partner,3,275,English,bullet,Agriculture,funded,7,0.09
1516,Agriculture,male,Nicaragua,NI,shared,field_partner,18,650,Spanish,bullet,Agriculture,funded,14,0.161
1517,Fish Selling,female,Ecuador,EC,not shared,field_partner,17,950,Spanish,irregular,Food,funded,6,0.054
1518,Recycling,female,Cambodia,KH,not shared,field_partner,5,250,English,monthly,Services,funded,14,0.16
1519,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,11,875,Spanish,monthly,Housing,not_funded,15,0.161
1520,Farming,female,Philippines,PH,shared,field_partner,32,1025,English,irregular,Agriculture,funded,8,0.497
1521,Farming,female,Philippines,PH,shared,field_partner,1,200,English,irregular,Agriculture,funded,8,0.055
1522,Farming,male,Kenya,KE,shared,field_partner,6,300,English,monthly,Agriculture,not_funded,14,0.509
1523,Farming,male,Peru,PE,shared,field_partner,22,600,Spanish,bullet,Agriculture,funded,14,0
1524,General Store,female,Philippines,PH,shared,field_partner,15,375,English,irregular,Retail,funded,7,0.055
1525,Personal Products Sales,female,Philippines,PH,shared,field_partner,2,225,English,irregular,Retail,funded,8,0.055
1526,Retail,male,Bolivia,BO,shared,field_partner,9,1025,Spanish,monthly,Retail,not_funded,20,0.105
1527,Personal Housing Expenses,female,Cambodia,KH,shared,field_partner,20,800,English,monthly,Housing,funded,16,0.16
1528,Retail,group,Peru,PE,shared,field_partner,35,4400,Spanish,monthly,Retail,funded,8,0
1529,Vehicle,female,Cambodia,KH,not shared,field_partner,16,500,English,monthly,Personal Use,funded,15,0.121
1530,Livestock,male,Tajikistan,TJ,not shared,field_partner,85,2650,English,irregular,Agriculture,funded,14,0.021
1531,Agriculture,female,Ecuador,EC,not shared,field_partner,21,600,Spanish,bullet,Agriculture,funded,8,0.014
1532,Primary/secondary school costs,male,Nigeria,NG,shared,field_partner,13,350,English,bullet,Education,funded,15,0.311
1533,Games,male,Colombia,CO,not shared,field_partner,18,675,Spanish,monthly,Entertainment,funded,14,0.005
1534,Farming,female,Cambodia,KH,not shared,field_partner,12,300,English,monthly,Agriculture,funded,10,0.196
1535,Shoe Sales,male,Kenya,KE,shared,field_partner,11,275,English,irregular,Retail,funded,8,0.223
1536,Fish Selling,male,Cambodia,KH,not shared,field_partner,38,1000,English,monthly,Food,funded,20,0.121
1537,Clothing Sales,female,Togo,TG,shared,field_partner,31,850,French,monthly,Clothing,funded,14,0.067
1538,General Store,male,Kenya,KE,shared,field_partner,5,150,English,monthly,Retail,funded,8,0.509
1539,Home Energy,male,Haiti,HT,shared,field_partner,13,325,English,irregular,Personal Use,funded,74,0.249
1540,Beverages,female,Nigeria,NG,not shared,field_partner,15,400,English,monthly,Food,funded,11,0.107
1541,Home Energy,male,Kenya,KE,shared,field_partner,26,750,English,monthly,Personal Use,funded,39,0.02
1542,Agriculture,male,El Salvador,SV,shared,field_partner,16,600,Spanish,monthly,Agriculture,not_funded,14,0.054
1543,General Store,male,Colombia,CO,shared,field_partner,12,2025,Spanish,bullet,Retail,not_funded,27,0.005
1544,Quarrying,male,Kenya,KE,shared,field_partner,5,125,English,monthly,Construction,funded,8,0.02
1545,General Store,female,Togo,TG,not shared,field_partner,37,1200,French,monthly,Retail,funded,13,0.067
1546,Fishing,female,Philippines,PH,shared,field_partner,1,225,English,irregular,Food,funded,5,0.054
1547,Motorcycle Repair,male,El Salvador,SV,not shared,field_partner,12,300,Spanish,monthly,Services,funded,8,0.03
1548,Food,female,Philippines,PH,shared,field_partner,2,50,English,irregular,Food,funded,8,0.055
1549,Personal Housing Expenses,female,El Salvador,SV,shared,field_partner,12,1250,Spanish,monthly,Housing,not_funded,26,0.077
1550,Home Energy,female,Nicaragua,NI,shared,field_partner,24,600,Spanish,irregular,Personal Use,funded,20,0.108
1551,Grocery Store,female,Peru,PE,shared,field_partner,21,1275,Spanish,irregular,Food,funded,6,0.062
1552,Beverages,group,Burundi,BI,shared,field_partner,167,4750,French,irregular,Food,funded,8,0.501
1553,Food Production/Sales,group,Nicaragua,NI,shared,field_partner,21,600,Spanish,irregular,Food,funded,9,0.161
1554,Clothing Sales,female,Zimbabwe,ZW,shared,field_partner,16,500,English,irregular,Clothing,funded,8,0.168
1555,Home Appliances,group,Cambodia,KH,shared,field_partner,5,200,English,monthly,Personal Use,funded,8,0.121
1556,Utilities,male,Peru,PE,shared,field_partner,1,700,Spanish,monthly,Services,funded,8,0
1557,Home Appliances,group,Cambodia,KH,shared,field_partner,5,125,English,monthly,Personal Use,funded,8,0.12
1558,Home Appliances,group,Cambodia,KH,shared,field_partner,6,175,English,monthly,Personal Use,funded,8,0.16
1559,Retail,male,Guatemala,GT,shared,field_partner,9,325,Spanish,monthly,Retail,funded,8,0.067
1560,Fish Selling,female,Kenya,KE,shared,field_partner,8,250,English,irregular,Food,funded,14,0.075
1561,Motorcycle Transport,male,Kenya,KE,shared,field_partner,2,125,English,monthly,Transportation,funded,8,0.02
1562,Retail,group,Benin,BJ,shared,field_partner,32,900,French,monthly,Retail,funded,14,0.083
1563,Retail,female,Kenya,KE,shared,field_partner,9,250,English,monthly,Retail,funded,14,0.02
1564,Farming,female,Kenya,KE,shared,field_partner,18,500,English,monthly,Agriculture,funded,14,0.509
1565,Farming,male,El Salvador,SV,shared,field_partner,11,550,Spanish,monthly,Agriculture,funded,17,0.201
1566,Cafe,male,Lebanon,LB,shared,field_partner,106,2950,English,monthly,Food,funded,18,0.003
1567,Furniture Making,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Manufacturing,funded,8,0.039
1568,Grocery Store,female,Nicaragua,NI,shared,field_partner,18,500,Spanish,irregular,Food,funded,9,0.161
1569,Tailoring,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Services,funded,14,0.075
1570,Beauty Salon,female,Kenya,KE,shared,field_partner,8,250,English,monthly,Services,funded,14,0.075
1571,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.353
1572,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.353
1573,Retail,female,Philippines,PH,shared,field_partner,15,450,English,irregular,Retail,funded,14,0.055
1574,Arts,female,Peru,PE,not shared,field_partner,24,750,Spanish,irregular,Arts,funded,6,0.062
1575,Farm Supplies,female,Ghana,GH,shared,field_partner,2,50,English,irregular,Agriculture,funded,10,0.171
1576,Home Appliances,group,Lao People's Democratic Republic,LA,shared,field_partner,10,325,English,bullet,Personal Use,funded,9,0.248
1577,Bakery,group,Cambodia,KH,shared,field_partner,32,1250,English,monthly,Food,funded,1 Year,0.097
1578,Services,male,Indonesia,ID,shared,field_partner,6,150,English,bullet,Services,funded,14,0.053
1579,Construction Supplies,group,Rwanda,RW,shared,field_partner,67,2125,English,monthly,Construction,funded,10,0.292
1580,Farm Supplies,female,Cambodia,KH,shared,field_partner,20,1000,English,monthly,Agriculture,funded,14,0.16
1581,Restaurant,male,Kenya,KE,shared,field_partner,10,250,English,monthly,Food,funded,14,0.075
1582,Animal Sales,female,Jordan,JO,shared,field_partner,41,1150,English,monthly,Agriculture,funded,21,0.005
1583,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,22,600,Spanish,monthly,Housing,funded,15,0.161
1584,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,16,400,English,irregular,Food,funded,13,0.055
1585,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,22,700,English,monthly,Housing,funded,1 Year,0.196
1586,Home Appliances,group,Cambodia,KH,shared,field_partner,5,150,English,monthly,Personal Use,funded,8,0.097
1587,Food Production/Sales,female,Philippines,PH,shared,field_partner,10,250,English,irregular,Food,funded,8,0.055
1588,Electrical Goods,female,Sierra Leone,SL,shared,field_partner,6,350,English,irregular,Retail,funded,6,0.319
1589,Home Products Sales,female,Bolivia,BO,shared,field_partner,30,800,Spanish,monthly,Retail,funded,15,0.043
1590,Farming,male,El Salvador,SV,shared,field_partner,16,400,Spanish,bullet,Agriculture,funded,9,0.054
1591,Dairy,female,Georgia,GE,shared,field_partner,17,800,English,monthly,Agriculture,funded,20,0.382
1592,Farming,group,Zimbabwe,ZW,shared,field_partner,30,750,English,monthly,Agriculture,funded,8,0.024
1593,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,33,1000,English,monthly,Housing,funded,20,0.121
1594,Home Appliances,group,Cambodia,KH,shared,field_partner,2,125,English,monthly,Personal Use,funded,8,0.12
1595,Retail,male,Kenya,KE,shared,field_partner,7,250,English,irregular,Retail,funded,8,0.223
1596,Food Production/Sales,female,Philippines,PH,shared,field_partner,13,350,English,irregular,Food,funded,11,0.055
1597,General Store,group,Guatemala,GT,shared,field_partner,15,750,Spanish,monthly,Retail,not_funded,14,0.067
1598,Food Market,female,Uganda,UG,shared,field_partner,5,125,English,irregular,Food,funded,6,0.013
1599,Farming,female,Philippines,PH,not shared,field_partner,6,150,English,irregular,Agriculture,funded,6,0.069
1600,Higher education costs,male,Peru,PE,not shared,field_partner,8,200,Spanish,irregular,Education,funded,6,0.062
1601,Auto Repair,female,Philippines,PH,shared,field_partner,6,250,English,irregular,Services,funded,8,0.091
1602,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,16,800,English,irregular,Food,funded,13,0.039
1603,Pigs,group,Vietnam,VN,not shared,field_partner,61,1625,English,irregular,Agriculture,funded,13,0.013
